symbol,event_type,impact_direction,severity_score,confidence_score,headline,flag_reason,source,published_at
ABCAPITAL,OTHER,WATCH,7.0,0.95,General Updates,PATTERN_MATCH_litigation,NSE_CORP_ANN,
INDUSINDBK,OTHER,NEGATIVE,8.5,0.95,News Verification,PATTERN_MATCH_sfio.*scanner,NSE_CORP_ANN,
INDUSINDBK,OTHER,NEGATIVE,8.5,0.95,News Verification,PATTERN_MATCH_sfio.*scanner,NSE_CORP_ANN,
INDIGO,OTHER,NEGATIVE,8.0,0.95,News Verification,PATTERN_MATCH_failed.*disclosures,NSE_CORP_ANN,
INDIGO,OTHER,WATCH,7.5,0.95,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,PATTERN_MATCH_pendency.*litigation,NSE_CORP_ANN,
INDIGO,OTHER,NEGATIVE,8.0,0.95,News Verification,PATTERN_MATCH_failed.*disclosures,NSE_CORP_ANN,
INDIGO,OTHER,NEGATIVE,8.0,0.95,News Verification,PATTERN_MATCH_watchdog.*summons,NSE_CORP_ANN,
RVNL,OTHER,WATCH,7.5,0.95,Action(s) taken or orders passed,PATTERN_MATCH_demand notice,NSE_CORP_ANN,
SRF,OTHER,WATCH,7.5,0.95,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,PATTERN_MATCH_pendency.*litigation,NSE_CORP_ANN,
SAMMAANCAP,OTHER,NEGATIVE,8.0,0.95,News Verification,PATTERN_MATCH_police.*fir,NSE_CORP_ANN,
SAMMAANCAP,OTHER,NEGATIVE,8.0,0.95,News Verification,PATTERN_MATCH_police.*fir,NSE_CORP_ANN,
SAMMAANCAP,OTHER,NEGATIVE,9.0,0.95,Suspension of Trading,PATTERN_MATCH_suspension of trading,NSE_CORP_ANN,
SUNPHARMA,OTHER,NEGATIVE,9.5,0.95,General Updates,PATTERN_MATCH_fda.*oai,NSE_CORP_ANN,
TATASTEEL,OTHER,WATCH,7.5,0.95,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,PATTERN_MATCH_pendency.*litigation,NSE_CORP_ANN,
IDEA,OTHER,WATCH,7.5,0.95,Action(s) taken or orders passed,PATTERN_MATCH_order passed.*tax,NSE_CORP_ANN,
