symbol,event_type,impact_direction,severity_score,confidence_score,headline,flag_reason,source,published_at
BAJAJ-AUTO,OTHER,WATCH,7.0,0.95,Action(s) taken or orders passed,PATTERN_MATCH_gst.*order,NSE_CORP_ANN,
BANDHANBNK,OTHER,WATCH,7.0,0.95,Action(s) initiated or orders passed,PATTERN_MATCH_gst.*order,NSE_CORP_ANN,
CDSL,OTHER,WATCH,7.5,0.95,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,PATTERN_MATCH_pendency.*litigation,NSE_CORP_ANN,
COLPAL,OTHER,WATCH,7.5,0.95,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,PATTERN_MATCH_pendency.*litigation,NSE_CORP_ANN,
JSWENERGY,OTHER,WATCH,7.0,0.95,General Updates,PATTERN_MATCH_litigation,NSE_CORP_ANN,
LICHSGFIN,OTHER,WATCH,7.5,0.95,Updates,PATTERN_MATCH_order.*received.*gst,NSE_CORP_ANN,
LICI,OTHER,WATCH,7.0,0.95,Updates,PATTERN_MATCH_penalty,NSE_CORP_ANN,
NBCC,OTHER,WATCH,6.5,0.925,Updates,PATTERN_MATCH_dispute,NSE_CORP_ANN,
NUVAMA,OTHER,WATCH,7.0,0.95,General Updates,PATTERN_MATCH_penalty,NSE_CORP_ANN,
PNBHOUSING,OTHER,WATCH,7.5,0.95,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,PATTERN_MATCH_pendency.*litigation,NSE_CORP_ANN,
PNB,OTHER,NEGATIVE,8.5,0.95,General Updates,PATTERN_MATCH_fraud,NSE_CORP_ANN,
RVNL,OTHER,WATCH,7.5,0.95,Action(s) taken or orders passed,PATTERN_MATCH_demand notice,NSE_CORP_ANN,
RVNL,OTHER,WATCH,7.5,0.95,Action(s) taken or orders passed,PATTERN_MATCH_demand notice,NSE_CORP_ANN,
RVNL,OTHER,WATCH,7.5,0.95,Action(s) taken or orders passed,PATTERN_MATCH_demand notice,NSE_CORP_ANN,
SHREECEM,OTHER,WATCH,7.0,0.95,General Updates,PATTERN_MATCH_tax.*order,NSE_CORP_ANN,
SHREECEM,OTHER,WATCH,7.0,0.95,General Updates,PATTERN_MATCH_gst.*order,NSE_CORP_ANN,
MOTHERSON,OTHER,WATCH,7.0,0.95,General Updates,PATTERN_MATCH_penalty,NSE_CORP_ANN,
TATASTEEL,OTHER,WATCH,7.5,0.95,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,PATTERN_MATCH_pendency.*litigation,NSE_CORP_ANN,
TATASTEEL,OTHER,WATCH,7.5,0.95,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,PATTERN_MATCH_pendency.*litigation,NSE_CORP_ANN,
TATASTEEL,OTHER,WATCH,7.5,0.95,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,PATTERN_MATCH_pendency.*litigation,NSE_CORP_ANN,
FEDERALBNK,OTHER,WATCH,7.0,0.95,General Updates,PATTERN_MATCH_penalty,NSE_CORP_ANN,
ULTRACEMCO,OTHER,WATCH,7.5,0.95,Action(s) taken or orders passed,PATTERN_MATCH_order received.*gst,NSE_CORP_ANN,
ULTRACEMCO,OTHER,WATCH,7.5,0.95,Action(s) taken or orders passed,PATTERN_MATCH_order received.*gst,NSE_CORP_ANN,
VEDL,OTHER,WATCH,7.0,0.95,Action(s) taken or orders passed,PATTERN_MATCH_penalty,NSE_CORP_ANN,
IDEA,OTHER,WATCH,7.0,0.95,Action(s) taken or orders passed,PATTERN_MATCH_penalty,NSE_CORP_ANN,
IDEA,OTHER,WATCH,7.0,0.95,Action(s) taken or orders passed,PATTERN_MATCH_penalty,NSE_CORP_ANN,
YESBANK,OTHER,WATCH,7.5,0.95,Updates,PATTERN_MATCH_order.*received.*gst,NSE_CORP_ANN,
